episode,start,total_votes,average_rating
538,2012,119,7.6
539,2012,121,7.4
540,2012,129,7.6
541,2012,124,7.8
542,2012,115,6.3
543,2012,126,7.8
544,2012,123,7.4
545,2012,121,7.3
546,2012,121,7.7
547,2012,116,7.6
548,2012,116,7.6
549,2012,117,7.7
550,2012,117,7.2
551,2012,119,7.1
552,2012,119,7.3
553,2012,124,7.7
554,2012,139,8.3
555,2012,119,7.7
556,2012,120,7.5
557,2012,115,7.3
558,2012,119,7.2
559,2012,119,7.0
560,2012,123,7.2
561,2012,124,7.3
562,2012,119,6.8
563,2012,118,6.9
564,2012,117,7.1
565,2012,122,7.6
566,2012,116,7.4
567,2012,119,7.3
568,2012,123,7.3
569,2012,122,7.2
570,2012,122,7.8
571,2012,120,7.6
572,2012,116,7.4
573,2012,118,7.3
574,2012,116,7.3
575,2012,106,7.0
576,2012,109,7.0
577,2012,110,6.9
578,2012,121,6.7
579,2013,126,7.4
580,2013,120,7.2
581,2013,119,7.0
582,2013,118,7.2
583,2013,117,7.0
584,2013,115,7.4
585,2013,118,7.5
586,2013,116,7.5
587,2013,118,7.9
588,2013,115,7.5
589,2013,114,7.3
590,2013,122,5.9
591,2013,115,7.3
592,2013,117,7.0
593,2013,118,7.4
594,2013,120,7.6
595,2013,114,7.3
596,2013,115,7.3
597,2013,114,7.7
598,2013,114,7.3
599,2013,117,7.4
600,2013,117,7.2
601,2013,117,7.3
602,2013,114,7.3
603,2013,115,7.6
604,2013,115,7.4
605,2013,118,7.1
606,2013,117,7.3
607,2013,115,7.9
608,2013,117,7.4
609,2013,117,7.4
610,2013,117,7.2
611,2013,116,7.2
612,2013,115,7.4
613,2013,130,8.0
614,2013,120,7.5
615,2013,116,7.6
616,2013,136,8.2
617,2013,123,7.7
618,2013,115,7.5
619,2013,119,7.6
620,2013,122,7.7
621,2013,122,7.8
622,2013,122,7.6
623,2013,123,7.4
624,2013,136,7.9
625,2013,133,7.8
626,2013,115,6.9
627,2014,114,6.8
628,2014,112,6.7
629,2014,136,7.9
630,2014,130,7.9
631,2014,137,8.0
632,2014,126,7.8
633,2014,126,7.8
634,2014,125,7.8
635,2014,126,7.9
636,2014,125,7.9
637,2014,120,7.9
638,2014,126,7.9
639,2014,122,7.7
640,2014,119,7.4
641,2014,120,7.5
642,2014,122,8.0
643,2014,126,8.1
644,2014,124,7.8
645,2014,121,7.4
646,2014,148,8.3
647,2014,119,7.6
648,2014,118,7.7
649,2014,134,8.1
650,2014,118,7.9
651,2014,115,7.8
652,2014,114,7.6
653,2014,113,7.6
654,2014,119,7.9
655,2014,138,8.1
656,2014,118,7.8
657,2014,114,7.6
658,2014,112,7.8
659,2014,117,8.0
660,2014,119,8.0
661,2014,141,8.4
662,2014,139,8.4
663,2014,201,8.9
664,2014,113,7.6
665,2014,113,7.6
666,2014,112,7.8
667,2014,118,7.8
668,2014,115,7.8
669,2014,116,7.8
670,2014,121,8.0
671,2014,112,7.8
672,2014,113,7.8
673,2014,111,7.8
674,2014,115,7.8
675,2014,124,8.1
676,2014,124,8.0
677,2015,169,8.6
678,2015,162,8.6
679,2015,122,8.1
680,2015,117,8.1
681,2015,116,7.9
682,2015,114,7.6
683,2015,114,7.9
684,2015,112,7.8
685,2015,118,8.0
686,2015,117,7.9
687,2015,142,8.2
688,2015,123,7.9
689,2015,122,7.9
690,2015,121,7.6
691,2015,116,7.7
692,2015,125,8.2
693,2015,116,7.5
694,2015,116,7.4
695,2015,121,8.0
696,2015,120,8.2
697,2015,137,8.4
698,2015,179,8.8
699,2015,136,8.5
700,2015,124,8.2
701,2015,132,8.4
702,2015,133,8.3
703,2015,151,8.7
704,2015,137,8.6
705,2015,146,8.6
706,2015,204,8.9
707,2015,116,8.0
708,2015,142,8.6
709,2015,110,7.8
710,2015,109,8.0
711,2015,110,8.0
712,2015,110,8.1
713,2015,112,8.3
714,2015,102,7.8
715,2015,121,8.3
716,2015,113,8.2
717,2015,113,8.3
718,2015,115,8.1
719,2015,262,9.1
720,2015,125,8.4
721,2015,125,8.4
722,2015,130,8.5
723,2015,190,8.9
724,2015,124,8.4
725,2016,158,8.6
726,2016,328,9.2
727,2016,118,8.2
728,2016,161,8.8
729,2016,117,8.3
730,2016,103,7.7
731,2016,110,7.4
732,2016,109,7.9
733,2016,192,8.8
734,2016,111,7.6
735,2016,121,8.1
736,2016,128,8.5
737,2016,113,8.2
738,2016,115,8.2
739,2016,179,8.7
740,2016,105,7.8
741,2016,107,7.8
742,2016,107,7.7
743,2016,122,8.5
744,2016,124,8.5
745,2016,142,8.5
746,2016,116,8.2
747,2016,109,6.9
748,2016,101,6.5
749,2016,96,6.7
750,2016,95,6.7
751,2016,105,7.2
752,2016,109,7.9
753,2016,106,7.4
754,2016,99,7.3
755,2016,101,7.4
756,2016,99,7.3
757,2016,100,7.7
758,2016,99,7.5
759,2016,101,7.9
760,2016,103,7.9
761,2016,99,7.6
762,2016,102,8.0
763,2016,102,8.0
764,2016,107,8.1
765,2016,96,7.4
766,2016,97,7.5
767,2016,118,8.4
768,2016,103,7.7
769,2016,119,8.1
770,2016,116,8.3
771,2017,105,7.7
772,2017,96,7.6
773,2017,94,7.6
774,2017,101,7.8
775,2017,87,7.2
776,2017,92,7.6
777,2017,95,7.1
778,2017,89,7.3
779,2017,91,7.6
780,2017,82,7.2
781,2017,80,7.3
782,2017,84,7.4
783,2017,88,7.6
784,2017,88,7.6
785,2017,100,8.2
786,2017,98,7.6
787,2017,95,7.6
788,2017,86,7.6
789,2017,90,7.7
790,2017,87,7.6
791,2017,85,7.4
792,2017,85,7.4
793,2017,93,7.5
794,2017,88,7.6
795,2017,88,7.5
796,2017,84,7.5
797,2017,86,7.7
798,2017,92,7.7
799,2017,97,7.9
800,2017,95,7.9
801,2017,95,7.7
802,2017,95,8.3
803,2017,100,8.5
804,2017,215,9.2
805,2017,106,8.5
806,2017,125,8.8
807,2017,169,8.3
808,2017,571,9.6
809,2017,114,8.5
810,2017,113,8.6
811,2017,106,8.5
812,2017,106,8.5
813,2017,93,8.2
814,2017,105,8.4
815,2017,104,8.5
816,2017,109,8.6
817,2017,242,9.2
818,2017,113,8.6
819,2017,111,8.5
820,2018,115,8.6
821,2018,100,8.2
822,2018,91,7.6
823,2018,99,7.6
824,2018,102,8.1
825,2018,117,8.6
826,2018,96,8.1
827,2018,94,7.6
828,2018,93,7.7
829,2018,84,7.7
830,2018,96,8.2
831,2018,85,7.6
832,2018,103,8.6
833,2018,194,9.1
834,2018,88,8.3
835,2018,87,8.3
836,2018,77,7.5
837,2018,84,8.1
838,2018,83,7.7
839,2018,82,7.6
840,2018,83,7.4
841,2018,82,8.0
842,2018,78,7.9
843,2018,70,7.5
844,2018,77,7.2
845,2018,76,7.6
846,2018,76,7.6
847,2018,78,7.6
848,2018,79,7.4
849,2018,138,8.8
850,2018,148,8.9
851,2018,91,8.2
852,2018,94,8.3
853,2018,86,7.7
854,2018,90,8.1
855,2018,87,7.9
856,2018,168,8.9
857,2018,90,8.0
858,2018,84,7.5
859,2018,79,7.2
860,2018,81,7.5
861,2018,77,7.3
862,2018,114,8.5
863,2018,81,7.5
864,2018,87,7.7
865,2018,85,7.8
866,2018,84,7.4
867,2019,105,8.1
868,2019,252,9.1
869,2019,135,8.8
870,2019,683,9.5
871,2019,148,8.9
872,2019,92,8.1
873,2019,91,8.3
874,2019,83,7.9
875,2019,96,8.0
876,2019,94,8.3
877,2019,235,9.1
878,2019,114,7.8
879,2019,95,7.2
880,2019,98,7.6
881,2019,120,5.6
882,2019,113,6.0
883,2019,106,6.2
884,2019,107,6.3
885,2019,114,7.0
886,2019,118,6.8
887,2019,144,8.1
888,2019,121,7.8
889,2019,110,7.4
890,2019,94,7.2
891,2019,161,8.5
892,2019,340,9.2
893,2019,171,8.8
894,2019,172,8.8
895,2019,96,6.2
896,2019,91,6.0
897,2019,145,8.5
898,2019,134,8.4
899,2019,185,8.9
900,2019,121,8.4
901,2019,105,7.6
902,2019,102,7.6
903,2019,118,6.6
904,2019,107,6.8
905,2019,119,8.2
906,2019,111,8.3
907,2019,107,6.3
908,2019,114,8.3
909,2019,144,8.6
910,2019,123,8.4
911,2019,108,7.9
912,2019,245,9.0
913,2019,209,8.8
914,2019,397,9.2
915,2019,321,9.1
916,2020,185,8.4
917,2020,234,8.8
918,2020,121,7.9
919,2020,117,7.9
920,2020,116,7.6
921,2020,129,6.7
922,2020,122,7.9
923,2020,120,8.1
924,2020,170,8.8
925,2020,160,8.6
926,2020,109,7.8
927,2020,110,7.2
928,2020,112,7.2
929,2020,109,7.1
930,2020,101,7.6
931,2020,97,7.2
932,2020,105,7.7
933,2020,145,8.3
934,2020,297,8.9
935,2020,104,7.8
936,2020,103,7.5
937,2020,93,7.5
938,2020,97,7.2
939,2020,121,8.1
940,2020,220,8.7
941,2020,153,8.1
942,2020,142,8.2
943,2020,120,8.1
944,2020,107,7.6
945,2020,153,8.4
946,2020,111,7.3
947,2020,108,7.4
948,2020,125,7.6
949,2020,189,8.5
950,2020,199,8.4
951,2020,177,7.9
952,2020,191,8.1
953,2020,249,8.0
954,2020,302,7.7
955,2020,407,7.4
956,2020,353,8.2
957,2021,"2,862",9.1
958,2021,746,9.4
